Row,z_1,z_2
bnd_pnt_1,0.998605553764469,10.8242476569065
bnd_pnt_2,-1.26480785198978,9.20683311786264
bnd_pnt_3,-1.90969743613002,8.05446250400421
bnd_pnt_4,-4.20286744297302,3.08518492892456
bnd_pnt_5,-5.34598242342135,0.575956691914143
bnd_pnt_6,-6.42067178521294,-2.28655229285326
bnd_pnt_7,-6.16535854178324,-5.0469327632463
bnd_pnt_8,-5.24425139518325,-6.78484032595904
bnd_pnt_9,-3.56961387439654,-8.59718454686163
bnd_pnt_10,-1.44217181431912,-9.98300821300955
bnd_pnt_11,-0.356037569625679,-9.90116759749989
bnd_pnt_12,1.90737583612857,-8.28375305845604
bnd_pnt_13,2.55226542026881,-7.13138244459762
bnd_pnt_14,4.84543542711181,-2.16210486951796
bnd_pnt_15,5.98855040756014,0.347123367492451
bnd_pnt_16,7.06323976935173,3.20963235225985
bnd_pnt_17,6.80792652592203,5.97001282265289
bnd_pnt_18,5.88681937932203,7.70792038536563
bnd_pnt_19,4.21218185853533,9.52026460626822
bnd_pnt_20,2.08473979845791,10.9060882724161
bnd_pnt_21,0.998605553764469,10.8242476569065
