Row,z_1,z_2
bnd_pnt_1,-2.7350012096373,4.73839841440196
bnd_pnt_2,-0.600708896891572,5.39077629968044
bnd_pnt_3,1.10765583011242,5.65998387880427
bnd_pnt_4,1.40806907376378,5.94693959091248
bnd_pnt_5,1.09098590220185,5.48467297862496
bnd_pnt_6,1.19350834602105,4.37459203986243
bnd_pnt_7,2.54980562745366,3.21689417887762
bnd_pnt_8,2.44541527963571,2.60315818840787
bnd_pnt_9,2.4536749783016,1.36012485236571
bnd_pnt_10,2.29082888717663,1.09800327772471
bnd_pnt_11,2.19214033806181,0.376242402369583
bnd_pnt_12,2.67068972921305,-0.355833683591231
bnd_pnt_13,2.32415954281075,-1.63365753396604
bnd_pnt_14,1.36781352407571,-2.83922044296872
bnd_pnt_15,2.18812204839839,-4.28947038631458
bnd_pnt_16,0.408109108355871,-5.98851764748085
bnd_pnt_17,-0.149598293627247,-6.14739038146585
bnd_pnt_18,-1.10431967868065,-6.75852160752068
bnd_pnt_19,-1.70563336760505,-6.09349101322281
bnd_pnt_20,-1.70803119114172,-4.71597428000403
bnd_pnt_21,-2.38564591424084,-3.59752327116192
bnd_pnt_22,-1.89798899647565,-3.02557238350825
bnd_pnt_23,-2.13946053804305,-1.7898831007457
bnd_pnt_24,-2.44246546444706,-0.844533045725074
bnd_pnt_25,-1.90728809520508,1.23498913727883
bnd_pnt_26,-1.95328850438561,1.64433755720835
bnd_pnt_27,-1.5686178650581,3.56176975448852
bnd_pnt_28,-2.01529205048515,4.16001697956909
