Row,z_1,z_2
bnd_pnt_1,-3.67757627115778,-3.97401897330413
bnd_pnt_2,-2.9806814979277,-2.40553283037475
bnd_pnt_3,-2.98186627212457,-1.35133331222957
bnd_pnt_4,-2.44246546444706,-0.844533045725074
bnd_pnt_5,-1.81260232036629,-0.0582888153514861
bnd_pnt_6,-1.97434724324577,0.786596250968636
bnd_pnt_7,-1.90728809520508,1.23498913727883
bnd_pnt_8,-1.95328850438561,1.64433755720835
bnd_pnt_9,-1.43720770053124,2.48070538922213
bnd_pnt_10,-1.5686178650581,3.56176975448852
bnd_pnt_11,-1.05223847807674,3.37857672306373
bnd_pnt_12,-0.312382071696918,3.67689930859238
bnd_pnt_13,0.0904750437913494,4.27523948183521
bnd_pnt_14,-0.600708896891572,5.39077629968044
bnd_pnt_15,1.10765583011242,5.65998387880427
bnd_pnt_16,1.40806907376378,5.94693959091248
bnd_pnt_17,1.09098590220185,5.48467297862496
bnd_pnt_18,1.19350834602105,4.37459203986243
bnd_pnt_19,1.79425343023491,3.25409020269636
bnd_pnt_20,2.54980562745366,3.21689417887762
bnd_pnt_21,2.53898612621667,2.88636914735968
bnd_pnt_22,2.67525943567967,2.38245935991345
bnd_pnt_23,2.4536749783016,1.36012485236571
bnd_pnt_24,2.29082888717663,1.09800327772471
bnd_pnt_25,2.19214033806181,0.376242402369583
bnd_pnt_26,2.15834845190793,-1.08588648945358
bnd_pnt_27,2.32415954281075,-1.63365753396604
bnd_pnt_28,1.36781352407571,-2.83922044296872
bnd_pnt_29,2.18812204839839,-4.28947038631458
bnd_pnt_30,0.408109108355871,-5.98851764748085
bnd_pnt_31,0.221292346005992,-7.09998833821576
bnd_pnt_32,-1.10431967868065,-6.75852160752068
bnd_pnt_33,-1.61989699473254,-6.13141183446808
bnd_pnt_34,-2.48350005661748,-5.62017134616482
bnd_pnt_35,-3.33238986891847,-5.34018243799606
