Row,NumGoodAlgos
1,5
2,4
3,4
4,6
5,0
6,2
7,6
8,6
9,6
10,4
11,6
12,6
13,6
14,2
15,5
16,2
17,6
18,6
19,0
20,4
21,1
22,6
23,4
24,0
25,5
26,6
27,6
28,4
29,6
30,6
31,6
32,0
33,3
34,5
35,6
36,4
37,0
38,6
39,0
40,6
41,3
42,6
43,6
44,6
45,6
46,5
47,6
48,5
49,4
50,4
51,5
52,1
53,6
54,0
55,4
56,6
57,5
58,4
59,3
60,3
61,1
62,4
63,0
64,6
65,6
66,4
67,6
68,5
69,6
70,3
71,6
72,5
73,4
74,3
75,0
76,6
77,3
78,4
79,5
80,3
81,0
82,6
83,6
84,6
85,4
86,6
87,5
88,6
89,6
90,6
91,1
92,6
93,0
94,5
95,6
96,5
97,5
98,6
99,6
100,6
101,5
102,4
103,6
104,6
105,6
106,4
107,2
108,2
109,6
110,6
111,3
112,6
113,5
114,6
115,5
116,6
117,5
118,4
119,4
120,6
121,1
122,5
123,3
124,1
125,0
126,6
127,6
128,5
129,6
130,6
131,5
132,6
133,4
134,3
135,4
136,6
137,4
138,0
139,5
140,4
141,5
142,6
143,6
144,6
145,6
146,2
147,6
148,5
149,4
150,6
151,0
152,6
153,6
154,1
155,6
156,0
157,5
158,5
159,4
160,4
161,1
162,6
163,6
164,1
165,5
166,6
167,4
168,6
169,6
170,0
171,6
172,4
173,5
174,6
175,6
176,0
177,5
178,6
179,6
180,6
181,6
182,4
183,3
184,6
185,6
186,2
187,6
188,3
189,6
190,6
191,4
192,6
193,6
194,6
195,0
196,0
197,6
198,5
199,2
200,6
201,6
202,6
203,5
204,1
205,6
206,2
207,6
208,2
209,6
210,4
211,3
212,4
213,0
214,5
215,5
216,4
217,5
218,5
219,5
220,6
221,5
222,0
223,5
224,6
225,1
226,6
227,5
228,6
229,4
230,6
231,5
232,6
233,6
234,6
235,6
236,4
237,6
238,4
239,6
240,6
241,6
242,6
243,6
244,6
245,5
246,5
247,5
248,4
249,3
250,6
251,6
252,6
253,1
254,6
255,1
256,4
257,3
258,6
259,6
260,1
261,6
262,3
263,0
264,6
265,6
266,6
267,3
268,1
269,4
270,3
271,6
272,5
273,0
274,6
275,0
276,6
277,2
278,6
279,6
280,6
281,0
282,6
283,3
284,5
285,4
286,5
287,4
288,6
289,6
290,6
291,6
292,1
293,2
294,6
295,5
296,0
297,6
298,3
299,3
300,1
301,5
302,6
303,1
304,6
305,4
306,5
307,5
308,6
309,4
310,6
311,5
312,6
313,4
314,1
315,5
316,0
317,3
318,6
319,6
320,4
321,4
322,6
323,4
324,0
325,5
326,5
327,3
328,6
329,6
330,5
331,3
332,6
333,0
334,6
335,5
336,6
337,5
338,6
339,3
340,6
341,2
342,6
343,6
344,6
345,4
346,6
347,5
348,5
349,6
350,6
351,6
352,1
353,6
354,6
355,4
356,6
357,6
358,4
359,6
360,3
361,3
362,5
363,6
364,1
365,6
366,5
367,6
368,4
369,2
370,6
371,5
372,6
373,6
374,4
375,6
376,6
377,6
378,3
379,4
380,6
381,3
382,3
383,4
384,3
385,1
386,6
387,6
388,1
389,6
390,6
391,6
392,0
393,3
394,4
395,1
396,6
397,0
398,6
399,6
400,3
401,4
402,3
403,3
404,4
405,6
406,0
407,0
408,5
409,6
410,0
411,5
412,6
413,5
414,5
415,5
416,6
417,0
418,1
419,4
420,6
421,6
422,6
423,5
424,5
425,6
426,4
427,6
428,5
429,4
430,3
431,2
432,5
433,0
434,6
435,5
436,6
437,6
438,6
439,4
440,5
441,5
442,4
443,6
444,0
445,2
446,1
447,0
448,5
449,4
450,6
451,1
452,2
453,4
454,5
455,6
456,6
457,6
458,6
459,5
460,1
461,5
462,5
463,4
464,4
465,3
466,4
467,2
468,6
469,5
470,2
471,1
472,5
473,6
474,5
475,6
476,5
477,3
478,6
479,5
480,6
481,5
482,5
483,6
484,3
485,6
486,6
487,6
488,2
489,3
490,5
491,0
492,6
493,6
494,6
495,5
496,5
497,1
498,5
499,2
500,3
501,6
502,6
503,5
504,5
505,5
506,2
507,6
508,6
509,6
510,2
511,4
512,0
513,5
514,6
515,6
516,6
517,6
518,2
519,4
520,5
521,6
522,6
523,6
524,0
525,5
526,4
527,6
528,6
529,6
530,5
531,4
532,6
533,6
534,4
535,4
536,5
537,4
538,4
539,4
540,0
541,2
542,4
543,4
544,6
545,6
546,0
547,2
548,5
549,6
550,6
551,6
552,6
553,2
554,5
555,3
556,3
557,6
558,6
559,2
560,6
561,4
562,6
563,5
564,2
565,1
566,6
567,6
568,6
569,6
570,4
571,0
572,6
573,3
574,6
575,2
576,6
577,6
578,6
579,5
580,3
581,5
582,3
583,6
584,4
585,0
586,4
587,6
588,6
589,0
590,0
591,6
592,4
593,3
594,6
595,5
596,5
597,0
598,6
599,4
600,3
601,5
602,6
603,6
604,6
605,5
606,6
607,4
608,6
609,2
610,6
611,6
612,4
613,4
614,2
615,6
616,6
617,6
618,1
619,5
620,6
621,6
622,6
623,6
624,5
625,6
626,0
627,6
628,2
629,0
630,4
631,6
632,6
633,3
634,3
635,6
636,6
637,5
638,6
639,6
640,6
641,6
642,6
643,5
644,4
645,6
646,0
647,6
648,5
649,6
650,6
651,0
652,5
653,4
654,5
655,3
656,6
657,6
658,0
659,6
660,1
661,6
662,6
663,5
664,2
665,6
666,6
667,5
668,6
669,5
670,6
671,5
672,3
673,4
674,5
675,3
676,3
677,6
678,1
679,6
680,6
