Row,z_1,z_2
bnd_pnt_1,-1.51323306190567,-2.68278968149917
bnd_pnt_2,-1.82436412910495,-3.53838611726477
bnd_pnt_3,-1.89798899647565,-3.02557238350825
bnd_pnt_4,NaN,NaN
bnd_pnt_5,-0.161468545964302,-4.48664898116881
bnd_pnt_6,-1.18026993869694,-4.94776900715051
bnd_pnt_7,-0.690217871983005,-4.30492258887828
bnd_pnt_8,-0.642753440683744,-4.07312783692832
bnd_pnt_9,NaN,NaN
bnd_pnt_10,-2.03547783382297,-0.916094059924858
bnd_pnt_11,-2.31529470849129,-0.702028624583436
bnd_pnt_12,-2.04279191614717,-0.568726826106277
bnd_pnt_13,-1.23845649237185,-0.435964378878911
bnd_pnt_14,NaN,NaN
bnd_pnt_15,0.331508327985816,-2.86684315500704
bnd_pnt_16,0.754265858751216,-3.49040466248572
bnd_pnt_17,-0.153392199366555,-3.0229328441496
bnd_pnt_18,-0.186076069511531,-2.87471335621504
bnd_pnt_19,0.0934751038576934,-1.90045050588118
bnd_pnt_20,NaN,NaN
bnd_pnt_21,-1.51323306190567,-2.68278968149917
bnd_pnt_22,-1.44804085254595,-2.34769751999386
bnd_pnt_23,-1.14557136706598,-2.44215343354745
bnd_pnt_24,NaN,NaN
bnd_pnt_25,-0.918786159560553,-4.61577900729776
bnd_pnt_26,-0.922362874249436,-4.60944856349056
bnd_pnt_27,-0.923745367839836,-4.61126210762846
