Row,z_1,z_2
bnd_pnt_1,-2.9806814979277,-2.40553283037475
bnd_pnt_2,-2.24235292253982,-1.23162203266438
bnd_pnt_3,-1.92642921916408,-2.09816548132441
bnd_pnt_4,NaN,NaN
bnd_pnt_5,-2.29213852380331,-1.1777425240459
bnd_pnt_6,-1.69143772719168,-1.00034810924078
bnd_pnt_7,-2.24235292253982,-1.23162203266438
bnd_pnt_8,NaN,NaN
bnd_pnt_9,1.33904204517477,-0.666292250920675
bnd_pnt_10,1.16310739334068,-0.746057957318897
bnd_pnt_11,1.52421484751701,0.695431095636169
bnd_pnt_12,NaN,NaN
bnd_pnt_13,-1.60747776316742,1.321322169947
bnd_pnt_14,-0.521519748013871,1.46235373135962
bnd_pnt_15,-0.897881227416868,1.1240206126047
bnd_pnt_16,-1.01345166309873,0.657516036017774
bnd_pnt_17,NaN,NaN
bnd_pnt_18,0.212067172581092,-3.45446039738721
bnd_pnt_19,0.0459093649306308,-4.31280374551733
bnd_pnt_20,-1.02799358974622,-4.40476488655225
bnd_pnt_21,NaN,NaN
bnd_pnt_22,-1.70364038222241,-4.5850849122289
bnd_pnt_23,-1.55771615004333,-4.20470592937404
bnd_pnt_24,-1.52697620022329,-4.30378959924411
bnd_pnt_25,NaN,NaN
bnd_pnt_26,0.0657993906233412,-5.12745026742348
bnd_pnt_27,0.381006186483372,-4.62373791067599
bnd_pnt_28,1.09151714751701,-5.21543549394735
bnd_pnt_29,NaN,NaN
bnd_pnt_30,1.69945933958204,2.06176274788818
bnd_pnt_31,1.79822665088498,2.9890399718295
bnd_pnt_32,2.67525943567967,2.38245935991345
bnd_pnt_33,NaN,NaN
bnd_pnt_34,-0.690217871983005,-4.30492258887828
bnd_pnt_35,-0.748055107644118,-4.38079301635522
bnd_pnt_36,-0.326668723621918,-4.34470858943142
bnd_pnt_37,-0.620352719760918,-4.09237459046132
bnd_pnt_38,-0.651597600043518,-4.11631869940982
