Row,z_1,z_2
bnd_pnt_1,-1.72500264905084,0.419959453086989
bnd_pnt_2,-1.49096669304762,0.613101840793746
bnd_pnt_3,-1.90875751851623,-0.500202763071281
bnd_pnt_4,NaN,NaN
bnd_pnt_5,-0.525169813192346,3.14665290821614
bnd_pnt_6,-1.04055668337064,1.85421950625664
bnd_pnt_7,-0.973415666960333,2.65800566906405
bnd_pnt_8,NaN,NaN
bnd_pnt_9,1.06689481203131,4.1976001887731
bnd_pnt_10,0.0780362330263521,4.28870114534448
bnd_pnt_11,0.756621978240225,4.55397298605448
bnd_pnt_12,NaN,NaN
bnd_pnt_13,2.67068972921305,-0.355833683591231
bnd_pnt_14,1.81873228917267,-1.05509515424644
bnd_pnt_15,2.00386179864245,-0.661347482074374
bnd_pnt_16,1.86909972855369,0.69595059079537
bnd_pnt_17,NaN,NaN
bnd_pnt_18,-2.09830663104784,-5.2590845811911
bnd_pnt_19,-2.06603270779571,-4.54937173449762
bnd_pnt_20,-0.863946894366796,-5.47467521037313
bnd_pnt_21,-1.43434113700641,-5.80580307238928
bnd_pnt_22,-1.61989699473254,-6.13141183446808
bnd_pnt_23,NaN,NaN
bnd_pnt_24,2.18812204839839,-4.28947038631458
bnd_pnt_25,1.19725402198298,-4.21345552922357
bnd_pnt_26,-0.13094990233935,-4.50064292213173
bnd_pnt_27,0.730982345354603,-3.4784129369152
bnd_pnt_28,0.754265858751216,-3.49040466248572
bnd_pnt_29,0.739381992780903,-3.4684511661526
bnd_pnt_30,0.882862519759133,-3.29828686685392
