Row,pos_prop_PRON,pos_prop_PUNCT,proportion_bullet_points,sentence_length_median,prop_adjacent_dependency_relation_mean,numTemplateExpression,numImplicitDependentResources,numNestedBlocks
Z_{1},-0.4489,0.4013,0.0184,0.0229,-0.2429,-0.0027,-0.5048,-0.3334
Z_{2},-0.2487,0.2608,-0.381,0.1695,-0.2816,0.3321,0.2835,0.3304
