Row,z_1,z_2
bnd_pnt_1,4.626628365991,-0.581106272189651
bnd_pnt_2,4.88470604769743,1.33042615669891
bnd_pnt_3,4.87742881747259,2.20969412287429
bnd_pnt_4,4.74289709275745,5.00079169650235
bnd_pnt_5,3.95367309716119,5.78285525765049
bnd_pnt_6,2.74185501184631,6.4635403316937
bnd_pnt_7,-1.03918729283765,4.36851535826402
bnd_pnt_8,-4.74357715233893,1.96129973369991
bnd_pnt_9,-6.46703066095865,-0.0365603660288112
bnd_pnt_10,-6.72510834266508,-1.94809279491737
bnd_pnt_11,-6.71783111244023,-2.82736076109275
bnd_pnt_12,-6.58329938772509,-5.61845833472081
bnd_pnt_13,-5.79407539212884,-6.40052189586895
bnd_pnt_14,-4.58225730681395,-7.08120696991216
bnd_pnt_15,-0.801215002129989,-4.98618199648248
bnd_pnt_16,2.90317485737129,-2.57896637191838
bnd_pnt_17,4.626628365991,-0.581106272189651
