Row,NumGoodAlgos
1,4
2,0
3,2
4,5
5,0
6,2
7,6
8,6
9,6
10,2
11,6
12,6
13,6
14,3
15,5
16,5
17,5
18,6
19,0
20,4
21,1
22,6
23,4
24,0
25,5
26,6
27,6
28,4
29,6
30,6
31,6
32,0
33,3
34,4
35,6
36,3
37,0
38,6
39,0
40,6
41,2
42,4
43,5
44,5
45,4
46,5
47,6
48,4
49,1
50,1
51,5
52,0
53,5
54,2
55,2
56,5
57,5
58,4
59,1
60,2
61,1
62,3
63,0
64,6
65,6
66,4
67,6
68,5
69,5
70,0
71,6
72,5
73,2
74,4
75,0
76,6
77,1
78,4
79,4
80,4
81,1
82,5
83,6
84,6
85,4
86,2
87,2
88,5
89,6
90,6
91,1
92,6
93,0
94,5
95,2
96,5
97,2
98,5
99,4
100,6
101,5
102,5
103,3
104,5
105,6
106,3
107,3
108,3
109,4
110,5
111,6
112,5
113,3
114,6
115,3
116,2
117,6
118,2
119,2
120,5
121,3
122,3
123,0
124,1
125,0
126,5
127,5
128,5
129,6
130,6
131,4
132,6
133,2
134,4
135,3
136,6
137,4
138,0
139,5
140,5
141,6
142,5
143,6
144,3
145,6
146,2
147,6
148,5
149,5
150,5
151,0
152,4
153,3
154,1
155,3
156,0
157,3
158,5
159,1
160,3
161,1
162,5
163,4
164,1
165,5
166,5
167,4
168,6
169,5
170,0
171,5
172,4
173,6
174,4
175,5
176,0
177,5
178,5
179,6
180,6
181,5
182,3
183,2
184,4
185,3
186,1
187,6
188,2
189,6
190,6
191,3
192,6
193,4
194,4
195,0
196,2
197,6
198,5
199,2
200,6
201,5
202,6
203,2
204,2
205,5
206,0
207,5
208,1
209,5
210,5
211,0
212,5
213,0
214,1
215,4
216,4
217,4
218,5
219,5
220,6
221,6
222,3
223,6
224,6
225,2
226,6
227,4
228,5
229,4
230,6
231,3
232,6
233,6
234,6
235,3
236,1
237,6
238,6
239,6
240,5
241,6
242,6
243,6
244,5
245,5
246,5
247,5
248,4
249,2
250,6
251,5
252,6
253,0
254,5
255,1
256,3
257,1
258,6
259,6
260,1
261,4
262,2
263,0
264,6
265,4
266,6
267,5
268,0
269,3
270,3
271,4
272,5
273,0
274,5
275,0
276,5
277,2
278,6
279,6
280,6
281,0
282,6
283,3
284,6
285,2
286,2
287,2
288,6
289,6
290,5
291,5
292,2
293,2
294,5
295,6
296,1
297,6
298,3
299,2
300,0
301,5
302,6
303,1
304,5
305,1
306,4
307,5
308,6
309,4
310,3
311,4
312,4
313,2
314,2
315,5
316,0
317,5
318,4
319,5
320,6
321,1
322,4
323,6
324,1
325,5
326,4
327,2
328,5
329,6
330,4
331,1
332,6
333,1
334,6
335,3
336,6
337,5
338,5
339,2
340,6
341,4
342,6
343,6
344,6
345,4
346,5
347,5
348,5
349,3
350,4
351,6
352,1
353,6
354,6
355,4
356,6
357,6
358,5
359,5
360,5
361,2
362,4
363,6
364,0
365,5
366,4
367,6
368,4
369,1
370,6
371,5
372,5
373,4
374,2
375,5
376,6
377,6
378,3
379,3
380,6
381,2
382,3
383,3
384,4
385,2
386,6
387,6
388,3
389,3
390,6
391,6
392,1
393,2
394,4
395,0
396,6
397,1
398,5
399,6
400,4
401,2
402,2
403,2
404,2
405,4
406,1
407,0
408,5
409,6
410,1
411,5
412,6
413,6
414,4
415,6
416,6
417,0
418,0
419,0
420,6
421,6
422,5
423,4
424,2
425,6
426,4
427,2
428,3
429,1
430,4
431,2
432,4
433,1
434,5
435,6
436,6
437,6
438,5
439,3
440,6
441,6
442,4
443,6
444,3
445,4
446,0
447,0
448,4
449,4
450,6
451,1
452,4
453,4
454,5
455,6
456,3
457,5
458,5
459,6
460,1
461,5
462,5
463,6
464,5
465,2
466,6
467,0
468,4
469,3
470,3
471,0
472,2
473,3
474,5
475,2
476,4
477,1
478,6
479,4
480,4
481,5
482,4
483,6
484,3
485,6
486,6
487,5
488,1
489,2
490,5
491,0
492,6
493,6
494,3
495,5
496,3
497,2
498,5
499,2
500,3
501,5
502,6
503,5
504,5
505,4
506,3
507,6
508,6
509,4
510,1
511,4
512,0
513,4
514,6
515,6
516,3
517,6
518,4
519,4
520,3
521,6
522,4
523,6
524,0
525,6
526,3
527,6
528,4
529,4
530,5
531,5
532,6
533,4
534,5
535,3
536,4
537,4
538,4
539,4
540,0
541,4
542,4
543,5
544,4
545,4
546,0
547,2
548,5
549,6
550,5
551,6
552,4
553,1
554,6
555,2
556,3
557,4
558,6
559,4
560,6
561,4
562,5
563,1
564,4
565,1
566,6
567,5
568,6
569,6
570,3
571,0
572,6
573,3
574,2
575,1
576,6
577,6
578,6
579,3
580,4
581,5
582,1
583,6
584,2
585,0
586,2
587,6
588,3
589,1
590,1
591,6
592,5
593,0
594,6
595,5
596,5
597,0
598,5
599,4
600,1
601,5
602,6
603,6
604,4
605,3
606,6
607,3
608,6
609,1
610,6
611,6
612,5
613,4
614,4
615,5
616,4
617,5
618,2
619,4
620,6
621,4
622,6
623,5
624,3
625,6
626,0
627,5
628,3
629,1
630,2
631,6
632,6
633,4
634,4
635,6
636,3
637,6
638,5
639,4
640,4
641,5
642,5
643,4
644,4
645,5
646,0
647,6
648,5
649,6
650,5
651,0
652,3
653,4
654,4
655,4
656,4
657,5
658,0
659,5
660,1
661,4
662,6
663,4
664,2
665,6
666,5
667,6
668,6
669,4
670,5
671,5
672,3
673,3
674,5
675,2
676,1
677,4
678,2
679,2
680,5
